Film,Genres
Пармская обитель (1-я серия),"Drama, Historical"
Их было пятеро,"Drama"
Белинский,"Biographical, Drama"
В одном универмаге,"Comedy"
Волочаевские дни,"Historical, War"
Дикая бара,"Comedy"
Запрещенные песенки,"Musical, Drama"
Звезда,"Drama"
Над Неманом рассвет,"Drama"
Парень из нашего города,"Drama, War"
Первая перчатка,"Sports, Comedy"
Римский-Корсаков,"Biographical, Drama"
Танкер Дербент,"Drama"
Арена смелых,"Adventure"
Учитель танцев (1-я серия),"Comedy, Romance"
Опасное сходство,"Drama"
Ангел в отпуске,"Comedy, Romance"
Анна Пролетарка,"Drama"
Аршин мал алан,"Musical, Comedy"
Близнецы,"Comedy"
Девушка спешит на свидание,"Comedy, Romance"
Кето и Котэ,"Comedy"
Коричневая паутина,"Drama"
Поезд идет на восток,"Drama"
Потомок Чингис-хана,"Historical, Drama"
Праздник св. Иоргена,"Comedy"
Сильва,"Musical, Romance"
Цирк,"Musical, Comedy"
Школа ненависти,"Drama"
Богатая невеста,"Comedy, Romance"
Варвары,"Drama"
Под игом,"Drama"
Большая жизнь,"Drama"
Голубые дороги,"Adventure"
Живой труп (1-я серия),"Drama"
Запорожец за Дунаем,"Comedy"
Котовский,"Biographical, Drama"
Лев Толстой,"Biographical, Drama"
Любимые арии,"Musical"
Операция Б.,"Adventure"
Сердца четырех,"Comedy, Romance"
Странный брак,"Drama"
Тарзан в западне (1-я серия),"Adventure"
Тахир и Зухра,"Musical, Romance"
Центр нападения,"Sports, Drama"
Человек в футляре,"Drama"
Чук и Гек,"Drama, Family"
Юность поэта,"Biographical, Drama"
