Film,Genres
Чук и Гек,"Drama, Family"
Арена смелых,Adventure
Пармская обитель (1-я серия),"Drama, Historical"
Варвары,Drama
Кето и Котэ,Comedy
Опасное сходство,Drama
Пармская обитель (2-я серия),"Drama, Historical"
Белинский,"Biographical, Drama"
Ангел в отпуске,"Comedy, Romance"
Поют жаворонки,Drama
В одном универмаге,Comedy
Звезда,Drama
Над Неманом рассвет,Drama
Праздник св. Иоргена,Drama
Их было пятеро,Drama
Лев Толстой,"Biographical, Drama"
Римский-Корсаков,"Biographical, Drama"
Джамбул,"Drama, Biographical"
Дочь полка,"Comedy, Family"
Запорожец за Дунаем,Comedy
Курган,Drama
Под игом,Drama
Ярость,Drama
Мичурин,"Biographical, Drama"
Анна Пролетарка,Drama
Ленин в Октябре,"Biographical, Drama"
У самого синего моря,Drama
