Film,Genre
Опасное сходство,"Drama"
Кето и Котэ,"Comedy"
Белинский,"Biographical, Drama"
В одном универмаге,"Comedy"
Варвары,"Drama"
Звезда,"Drama"
Пармская обитель (2-я серия),"Drama, Historical"
Поют жаворонки,"Drama"
Их было пятеро,"Drama"
Римский-Корсаков,"Biographical, Drama"
Дочь полка,"Comedy, Family"
Пармская обитель (1-я серия),"Drama, Historical"
Арена смелых,"Adventure"
Над Неманом рассвет,"Drama"
Ярость,"Drama"
Запорожец за Дунаем,"Comedy"
Истребители,"Drama, War"
Кубанские казаки,"Drama, War"
Праздник св. Иоргена,"Drama"
Ангел в отпуске,"Comedy, Romance"
Анна Пролетарка,"Drama"
Под игом,"Drama"
У самого синего моря,"Drama"
