Film,Genre
Лев Толстой,"Biographical, Drama"
Опасное сходство,"Drama"
Чук и Гек,"Drama, Family"
Кето и Котэ,"Comedy"
Белинский,"Biographical, Drama"
Их было пятеро,"Drama"
Варвары,"Drama"
В одном универмаге,"Comedy"
Звезда,"Drama"
Поют жаворонки,"Drama"
Пармская обитель (1-я серия),"Drama, Historical"
Римский-Корсаков,"Biographical, Drama"
Пармская обитель (2-я серия),"Drama, Historical"
Арена смелых,"Adventure"
Дочь полка,"Comedy, Family"
Праздник св. Иоргена,"Drama"
Утро над Родиной,"Drama"
На границе,"Drama, War"
Над Неманом рассвет,"Drama"
Под игом,"Drama"
Ярость,"Drama"
Запорожец за Дунаем,"Comedy"
Тайное поручение,"Drama, Adventure"
Мужество,"Drama, War"
Свадьба,"Comedy, Romance"
Секретная миссия,"Drama, War"
Щедрое лето,"Drama"
Ангел в отпуске,"Comedy, Romance"
Анна Пролетарка,"Drama"
Возвращение с победой,"Drama, War"
Далекая невеста,"Drama, Romance"
Мечты на дорогах,"Drama"
У самого синего моря,"Drama"
Человек с ружьем,"Drama, Adventure, War"
