Film,Genres
Чук и Гек,"Drama, Family"
Белинский,"Biographical, Drama"
На дне (1-я и 2-я серия),"Drama"
Котовский,"Biographical, Drama"
Сказание о земле Сибирской,"Musical, Drama"
Римский-Корсаков,"Biographical, Drama"
Вратарь,"Sports, Comedy"
Гибель орла,"Drama"
Истребители,"Drama, War"
Машенька,"Romance, Drama"
Павлинка,"Comedy"
Под небом Сицилии,"Documentary"
Арена смелых,"Adventure"
Молодой Карузо,"Biographical, Musical"
Пармская обитель (2-я серия),"Drama, Historical"
Дудочка и кувшинчик,"Animation, Fairy Tale"
Георгий Саакадзе (1-я серия),"Historical, Drama"
Белеет парус одинокий,"Adventure, Family"
Лев и заяц,"Animation, Comedy"
Полкан и шавка,"Animation, Comedy"
Сказка о мёртвой царевне и семи богатырях,"Animation, Fairy Tale"
Александр Невский,"Historical, Drama"
Зигмунд Колосовский,"Drama"
Подвиг разведчика,"War, Thriller"
Человек с ружьём,"Historical, Drama"
Джульбарс,"Adventure, Family"
Звезда,"Drama"
Золушка,"Fairy Tale, Family"
Как закалялась сталь,"Historical, Drama"
Кубанские казаки,"Musical, Drama"
Новые цветные мультипликации,"Animation"
Она защищает Родину,"Drama, War"
Пахта-Ой,"Drama"
По щучьему велению,"Animation, Fairy Tale"
Повесть о настоящем человеке,"War, Drama"
Поколение победителей,"Drama"
Семеро смелых,"Adventure"
Аленький цветочек,"Animation, Fairy Tale"
Василиса Прекрасная,"Fairy Tale, Family"
Гайчи,"Drama"
Детство Горького,"Biographical, Drama"
Неразлучные друзья,"Adventure, Family"
Слон и верёвочка,"Animation, Comedy"
Секретарь райкома,"Drama"
Тихая поляна,"Animation"
15-летний капитан,"Adventure"
Волшебное зерно,"Animation, Fairy Tale"
Высокая награда,"Drama"
Дети капитана Гранта,"Adventure, Family"
Дума про казака Голоту,"Historical, Drama"
За советскую родину,"Drama"
Золотой ключик,"Animation, Fairy Tale"
Крейсер Варяг,"Historical, War"
Крепыш,"Family"
Кто первый,"Comedy"
Лесные путешественники,"Adventure"
Малахов курган,"War, Drama"
Марите,"Biographical, Drama"
Морской ястреб,"Adventure"
Мы из Кронштадта,"War, Drama"
Неженна,"Drama"
Обиженные игрушки,"Animation"
Первый старт,"Drama"
Пётр Первый (1-я серия),"Historical, Drama"
Садко,"Fairy Tale, Adventure"
Чемпион,"Sports, Drama"
Чортово ущелье,"Adventure"
Чудесный колокольчик,"Animation, Fairy Tale"
Юные партизаны,"Adventure, War"
Голубые дороги,"Adventure"
Аршин мал алан,"Musical, Comedy"
В дальнем плавании,"Drama"
Возвращение Василия Борцова,"Drama"
Далекая невеста,"Drama, Romance"
Киносборник мультипликаций,"Animation"
На границе,"Drama, War"
Опасный рейс,"Drama"
Операция Б.,"Adventure"
Парень из тайги,"Drama"
Тимур и его команда,"Adventure, Family"
Цирк,"Musical, Comedy"
Адмирал Нахимов,"Biographical, Historical"
Адмирал Ушаков,"Historical, Drama"
Белый клык,"Adventure"
В степи,"Drama"
Валерий Чкалов,"Biographical, Drama"
Волго-Дон,"Documentary"
Гаврош,"Drama"
Кащей Бессмертный,"Animation, Fairy Tale"
Конёк-Горбунок,"Animation, Fairy Tale"
Крашеный лис,"Animation, Comedy"
Максимка,"Adventure"
Машенькин концерт,"Animation"
Минин и Пожарский,"Historical, Drama"
Молодые моряки,"Adventure"
Остров сокровищ,"Adventure"
Первоклассница,"Drama"
Первый урок,"Drama"
Поединок,"Drama"
Сказка о царе Салтане,"Animation, Fairy Tale"
Суворов,"Historical, Drama"
Теремок,"Animation, Fairy Tale"
Четвёртый перископ,"War, Drama"
Чужой голос,"Drama"
Юность поэта,"Biographical, Drama"
В людях,"Biographical, Drama"
Мужество,"Drama"
Пётр Первый (2-я серия),"Historical, Drama"
Снегурочка,"Animation, Fairy Tale"
Счастливого плавания,"Drama"
Тринадцать,"War, Drama"
