Movie,Popstat,UnitPopstat,Genres
ЧУК И ГЕК,1615727.272,0.18098159509202455,"Drama,Family"
АРЕНА СМЕЛЫХ,903711.864,0.10122699386503066,Adventure
ПАРМСКАЯ ОБИТЕЛЬ (1-я серия),657244.992,0.07361963190184048,"Drama,Historical"
ВАРВАРЫ,602474.576,0.06748466257668712,Drama
КЕТО И КОТЭ,575089.368,0.06441717791411043,Comedy
ОПАСНОЕ СХОДСТВО,492933.744,0.05521472392638037,Drama
ПАРМСКАЯ ОБИТЕЛЬ (2-я серия),492933.744,0.05521472392638037,"Drama,Historical"
БЕЛИНСКИЙ,410778.12,0.046012269938650305,"Biographical,Drama"
АНГЕЛ В ОТПУСКЕ,410778.12,0.046012269938650305,"Comedy,Romance"
ПОЮТ ЖАВОРОНКИ,328622.496,0.03680981595092024,Drama
В ОДНОМ УНИВЕРМАГЕ,301237.288,0.03374233128834356,Comedy
ЗВЕЗДА,246466.872,0.027607361963190184,Drama
НАД НЕМАНОМ РАССВЕТ,246466.872,0.027607361963190184,Drama
ПРАЗДНИК СВ. ИОРГЕНА,219081.664,0.024539877300613494,Drama
ИХ БЫЛО ПЯТЕРО,191696.456,0.02147239263803681,Drama
ЛЕВ ТОЛСТОЙ,191696.456,0.02147239263803681,"Biographical,Drama"
РИМСКИЙ-КОРСАКОВ,191696.456,0.02147239263803681,"Biographical,Drama"
ДЖАМБУЛ,164311.248,0.01840490797546012,"Drama,Biographical"
ДОЧЬ ПОЛКА,164311.248,0.01840490797546012,"Comedy,Family"
ЗАПОРОЖЕЦ ЗА ДУНАЕМ,136926.04,0.015337423312883436,Comedy
КУРГАН,82155.624,0.00920245398773006,Drama
ПОД ИГОМ,82155.624,0.00920245398773006,Drama
ЯРОСТЬ,82155.624,0.00920245398773006,Drama
МИЧУРИН,54770.416,0.0061349693251533735,"Biographical,Drama"
АННА ПРОЛЕТАРКА,27385.208,0.0030674846625766868,Drama
ЛЕНИН В ОКТЯБРЕ,27385.208,0.0030674846625766868,"Biographical,Drama"
У САМОГО СИНЕГО МОРЯ,27385.208,0.0030674846625766868,Drama
