Movie,Popstat,Genres
ОПАСНОЕ СХОДСТВО,238480.2,0.09183673469387756,Drama
КЕТО И КОТЭ,211982.4,0.0816326530612245,Comedy
БЕЛИНСКИЙ,185484.6,0.07142857142857144,"Biographical, Drama"
В ОДНОМ УНИВЕРМАГЕ,185484.6,0.07142857142857144,Comedy
ВАРВАРЫ,185484.6,0.07142857142857144,Drama
ЗВЕЗДА,158986.8,0.061224489795918366,Drama
ПАРМСКАЯ ОБИТЕЛЬ (2-я серия),158986.8,0.061224489795918366,"Drama, Historical"
ПОЮТ ЖАВОРОНКИ,158986.8,0.061224489795918366,Drama
ИХ БЫЛО ПЯТЕРО,158986.8,0.061224489795918366,Drama
РИМСКИЙ-КОРСАКОВ,132489.0,0.05102040816326531,"Biographical, Drama"
ДОЧЬ ПОЛКА,105991.2,0.04081632653061225,"Comedy, Family"
ПАРМСКАЯ ОБИТЕЛЬ (1-я серия),105991.2,0.04081632653061225,"Drama, Historical"
АРЕНА СМЕЛЫХ,79493.4,0.030612244897959183,Adventure
НАД НЕМАНОМ РАССВЕТ,79493.4,0.030612244897959183,Drama
ЯРОСТЬ,79493.4,0.030612244897959183,Drama
ЗАПОРОЖЕЦ ЗА ДУНАЕМ,79493.4,0.030612244897959183,Comedy
ИСТРЕБИТЕЛИ,52995.6,0.020408163265306124,"Drama, War"
КУБАНСКИЕ КАЗАКИ,52995.6,0.020408163265306124,"Drama, War"
ПРАЗДНИК СВ. ИОРГЕНА,52995.6,0.020408163265306124,Drama
АНГЕЛ В ОТПУСКЕ,52995.6,0.020408163265306124,"Comedy, Romance"
АННА ПРОЛЕТАРКА,26497.8,0.010204081632653062,Drama
ПОД ИГОМ,26497.8,0.010204081632653062,Drama
У САМОГО СИНЕГО МОРЯ,26497.8,0.010204081632653062,Drama
