Movie,Popstat,Genres
ЛЕВ ТОЛСТОЙ,1111017.438,0.12751677852348994,"Biographical, Drama"
ОПАСНОЕ СХОДСТВО,526271.418,0.06040268456375838,Drama
ЧУК И ГЕК,467796.816,0.05369127516778523,"Drama, Family"
КЕТО И КОТЭ,467796.816,0.05369127516778523,Comedy
БЕЛИНСКИЙ,409322.214,0.046979865771812075,"Biographical, Drama"
ИХ БЫЛО ПЯТЕРО,409322.214,0.046979865771812075,Drama
ВАРВАРЫ,409322.214,0.046979865771812075,Drama
В ОДНОМ УНИВЕРМАГЕ,409322.214,0.046979865771812075,Comedy
ЗВЕЗДА,350847.612,0.040268456375838924,Drama
ПОЮТ ЖАВОРОНКИ,350847.612,0.040268456375838924,Drama
ПАРМСКАЯ ОБИТЕЛЬ (1-я серия),292373.01,0.03355704697986577,"Drama, Historical"
РИМСКИЙ-КОРСАКОВ,292373.01,0.03355704697986577,"Biographical, Drama"
ПАРМСКАЯ ОБИТЕЛЬ (2-я серия),292373.01,0.03355704697986577,"Drama, Historical"
АРЕНА СМЕЛЫХ,233898.408,0.026845637583892613,Adventure
ДОЧЬ ПОЛКА,233898.408,0.026845637583892613,"Comedy, Family"
ПРАЗДНИК СВ. ИОРГЕНА,233898.408,0.026845637583892613,Drama
УТРО НАД РОДИНОЙ,233898.408,0.026845637583892613,Drama
НА ГРАНИЦЕ,175423.806,0.020134228187919462,"Drama, War"
НАД НЕМАНОМ РАССВЕТ,175423.806,0.020134228187919462,Drama
ПОД ИГОМ,175423.806,0.020134228187919462,Drama
ЯРОСТЬ,175423.806,0.020134228187919462,Drama
ЗАПОРОЖЕЦ ЗА ДУНАЕМ,175423.806,0.020134228187919462,Comedy
ТАЙНОЕ ПОРУЧЕНИЕ,175423.806,0.020134228187919462,"Drama, Adventure"
МУЖЕСТВО,116949.204,0.013422818791946307,"Drama, War"
СВАДЬБА,116949.204,0.013422818791946307,"Comedy, Romance"
СЕКРЕТНАЯ МИССИЯ,116949.204,0.013422818791946307,"Drama, War"
ЩЕДРОЕ ЛЕТО,116949.204,0.013422818791946307,Drama
АНГЕЛ В ОТПУСКЕ,116949.204,0.013422818791946307,"Comedy, Romance"
АННА ПРОЛЕТАРКА,58474.602,0.006711409395973153,Drama
ВОЗВРАЩЕНИЕ С ПОБЕДОЙ,58474.602,0.006711409395973153,"Drama, War"
ДАЛЕКАЯ НЕВЕСТА,58474.602,0.006711409395973153,"Drama, Romance"
МЕЧТЫ НА ДОРОГАХ,58474.602,0.006711409395973153,Drama
У САМОГО СИНЕГО МОРЯ,58474.602,0.006711409395973153,Drama
ЧЕЛОВЕК С РУЖЬЕМ,58474.602,0.006711409395973153,"Drama, Adventure, War"
