Movie,Popstat,UnitPopstat,Genres
ЧУК И ГЕК,235435.536,0.10204779054178387,"Drama,Family"
БЕЛИНСКИЙ,93579.864,0.040561499434820326,"Biographical,Drama"
НА ДНЕ (1-я и 2-я серия),57373.008,0.024867905680712916,Drama
КОТОВСКИЙ,48275.808,0.020924791672143214,"Biographical,Drama"
СКАЗАНИЕ О ЗЕМЛЕ СИБИРСКОЙ,48275.808,0.020924791672143214,"Musical,Drama"
РИМСКИЙ-КОРСАКОВ,48275.808,0.020924791672143214,"Biographical,Drama"
ВРАТАРЬ,36206.856,0.01569359375410741,"Sports,Comedy"
ГИБЕЛЬ ОРЛА,36206.856,0.01569359375410741,Drama
ИСТРЕБИТЕЛИ,36206.856,0.01569359375410741,"Drama,War"
МАШЕНЬКА,36206.856,0.01569359375410741,"Romance,Drama"
ПАВЛИНКА,36206.856,0.01569359375410741,Comedy
ПОД НЕБОМ СИЦИЛИИ,36206.856,0.01569359375410741,Documentary
АРЕНА СМЕЛЫХ,36206.856,0.01569359375410741,Adventure
МОЛОДОЙ КАРУЗО,36206.856,0.01569359375410741,"Biographical,Musical"
ПАРМСКАЯ ОБИТЕЛЬ (2-я серия),36206.856,0.01569359375410741,"Drama,Historical"
ДУДОЧКА И КУВШИНЧИК,31840.2,0.013800899029993954,"Animation,Fairy Tale"
ГЕОРГИЙ СААКАДЗЕ (1-я серия),27291.6,0.011829342025709103,"Historical,Drama"
БЕЛЕЕТ ПАРУС ОДИНОКИЙ,27291.6,0.011829342025709103,"Adventure,Family"
ЛЕВ И ЗАЯЦ,27291.6,0.011829342025709103,"Animation,Comedy"
ПОЛКАН И ШАВКА,27291.6,0.011829342025709103,"Animation,Comedy"
СКАЗКА О МЕРТВОЙ ЦАРЕВНЕ И СЕМИ БОГАТЫРЯХ,27291.6,0.011829342025709103,"Animation,Fairy Tale"
АЛЕКСАНДР НЕВСКИЙ,25714.752,0.011145868930890356,"Historical,Drama"
ЗИГМУНД КОЛОСОВСКИЙ,25714.752,0.011145868930890356,Drama
ПОДВИГ РАЗВЕДЧИКА,25714.752,0.011145868930890356,War
ЧЕЛОВЕК С РУЖЬЕМ,25714.752,0.011145868930890356,"Historical,Drama"
ДЖУЛЬБАРС,24137.904,0.010462395836071607,"Adventure,Family"
ЗВЕЗДА,24137.904,0.010462395836071607,Drama
ЗОЛУШКА,24137.904,0.010462395836071607,"Fairy Tale,Family"
КАК ЗАКАЛЯЛАСЬ СТАЛЬ,24137.904,0.010462395836071607,"Historical,Drama"
КУБАНСКИЕ КАЗАКИ,24137.904,0.010462395836071607,"Musical,Drama"
НОВЫЕ ЦВЕТНЫЕ МУЛЬТИПЛИКАЦИИ,24137.904,0.010462395836071607,Animation
ОНА ЗАЩИЩАЕТ РОДИНУ,24137.904,0.010462395836071607,"Drama,War"
ПАХТА-ОЙ,24137.904,0.010462395836071607,Drama
ПО ЩУЧЬЕМУ ВЕЛЕНИЮ,24137.904,0.010462395836071607,"Animation,Fairy Tale"
ПОВЕСТЬ О НАСТОЯЩЕМ ЧЕЛОВЕКЕ,24137.904,0.010462395836071607,"War,Drama"
ПОКОЛЕНИЕ ПОБЕДИТЕЛЕЙ,24137.904,0.010462395836071607,Drama
СЕМЕРО СМЕЛЫХ,24137.904,0.010462395836071607,Adventure
АЛЕНЬКИЙ ЦВЕТОЧЕК,22743.0,0.009857785021424252,"Animation,Fairy Tale"
ВАСИЛИСА ПРЕКРАСНАЯ,22743.0,0.009857785021424252,"Fairy Tale,Family"
ГАЙЧИ,22743.0,0.009857785021424252,Drama
ДЕТСТВО ГОРЬКОГО,22743.0,0.009857785021424252,"Biographical,Drama"
НЕРАЗЛУЧНЫЕ ДРУЗЬЯ,21166.152,0.009174311926605503,"Adventure,Family"
СЛОН И ВЕРЕВОЧКА,21166.152,0.009174311926605503,"Animation,Comedy"
СЕКРЕТАРЬ РАЙКОМА,18194.4,0.007886228017139403,Drama
ТИХАЯ ПОЛЯНА,18194.4,0.007886228017139403,Animation
15-ЛЕТНИЙ КАПИТАН,13645.8,0.0059146710128545514,Adventure
ВОЛШЕБНОЕ ЗЕРНО,13645.8,0.0059146710128545514,"Animation,Fairy Tale"
ВЫСОКАЯ НАГРАДА,13645.8,0.0059146710128545514,Drama
ДЕТИ КАПИТАНА ГРАНТА,13645.8,0.0059146710128545514,"Adventure,Family"
ДУМА ПРО КАЗАКА ГОЛОТУ,13645.8,0.0059146710128545514,"Historical,Drama"
ЗА СОВЕТСКУЮ РОДИНУ,13645.8,0.0059146710128545514,Drama
ЗОЛОТОЙ КЛЮЧИК,13645.8,0.0059146710128545514,"Animation,Fairy Tale"
КРЕЙСЕР ВАРЯГ,13645.8,0.0059146710128545514,"Historical,War"
КРЕПЫШ,13645.8,0.0059146710128545514,Family
КТО ПЕРВЫЙ,13645.8,0.0059146710128545514,Comedy
ЛЕСНЫЕ ПУТЕШЕСТВЕННИКИ,13645.8,0.0059146710128545514,Adventure
МАЛАХОВ КУРГАН,13645.8,0.0059146710128545514,"War,Drama"
МАРИТЕ,13645.8,0.0059146710128545514,"Biographical,Drama"
МОРСКОЙ ЯСТРЕБ,13645.8,0.0059146710128545514,Adventure
МЫ ИЗ КРОНШТАДТА,13645.8,0.0059146710128545514,"War,Drama"
НЕЖЕННА,13645.8,0.0059146710128545514,Drama
ОБИЖЕННЫЕ ИГРУШКИ,13645.8,0.0059146710128545514,Animation
ПЕРВЫЙ СТАРТ,13645.8,0.0059146710128545514,Drama
ПЕТР ПЕРВЫЙ (1-я серия),13645.8,0.0059146710128545514,"Historical,Drama"
САДКО,13645.8,0.0059146710128545514,"Fairy Tale,Adventure"
ЧЕМПИОН,13645.8,0.0059146710128545514,"Sports,Drama"
ЧОРТОВО УЩЕЛЬЕ,13645.8,0.0059146710128545514,Adventure
ЧУДЕСНЫЙ КОЛОКОЛЬЧИК,13645.8,0.0059146710128545514,"Animation,Fairy Tale"
ЮНЫЕ ПАРТИЗАНЫ,13645.8,0.0059146710128545514,"Adventure,War"
ГОЛУБЫЕ ДОРОГИ,13645.8,0.0059146710128545514,Adventure
АРШИН МАЛ АЛАН,12068.952,0.0052311979180358036,"Musical,Comedy"
В ДАЛЬНЕМ ПЛАВАНИИ,12068.952,0.0052311979180358036,Drama
ВОЗВРАЩЕНИЕ ВАСИЛИЯ БOPTHИКОВА,12068.952,0.0052311979180358036,Drama
ДАЛЕКАЯ НЕВЕСТА,12068.952,0.0052311979180358036,"Drama,Romance"
КИНОСБОРНИК МУЛЬТИПЛИКАЦИЙ,12068.952,0.0052311979180358036,Animation
НА ГРАНИЦЕ,12068.952,0.0052311979180358036,"Drama,War"
ОПАСНЫЙ РЕЙС,12068.952,0.0052311979180358036,Drama
ОПЕРАЦИЯ Б.,12068.952,0.0052311979180358036,Adventure
ПАРЕНЬ ИЗ ТАЙГИ,12068.952,0.0052311979180358036,Drama
ТИМУР И ЕГО КОМАНДА,12068.952,0.0052311979180358036,"Adventure,Family"
ЦИРК,12068.952,0.0052311979180358036,"Musical,Comedy"
АДМИРАЛ НАХИМОВ,9097.2,0.0039431140085697015,"Biographical,Historical"
АДМИРАЛ УШАКОВ,9097.2,0.0039431140085697015,"Historical,Drama"
БЕЛЫЙ КЛЫК,9097.2,0.0039431140085697015,Adventure
В СТЕПИ,9097.2,0.0039431140085697015,Drama
ВАЛЕРИЙ ЧКАЛОВ,9097.2,0.0039431140085697015,"Biographical,Drama"
ВОЛГО-ДОН,9097.2,0.0039431140085697015,Documentary
ГАВРОШ,9097.2,0.0039431140085697015,Drama
КАЩЕЙ БЕССМЕРТНЫЙ,9097.2,0.0039431140085697015,"Animation,Fairy Tale"
КОНЕК-ГОРБУНОК,9097.2,0.0039431140085697015,"Animation,Fairy Tale"
КРАШЕНЫЙ ЛИС,9097.2,0.0039431140085697015,"Animation,Comedy"
МАКСИМКА,9097.2,0.0039431140085697015,Adventure
МАШЕНЬКИН КОНЦЕРТ,9097.2,0.0039431140085697015,Animation
МИНИН И ПОЖАРСКИЙ,9097.2,0.0039431140085697015,"Historical,Drama"
МОЛОДЫЕ МОРЯКИ,9097.2,0.0039431140085697015,Adventure
ОСТРОВ COKPОВИЩ,9097.2,0.0039431140085697015,Adventure
ПЕРВОКЛАССНИЦА,9097.2,0.0039431140085697015,Drama
ПЕРВЫЙ УРОК,9097.2,0.0039431140085697015,Drama
ПОЕДИНОК,9097.2,0.0039431140085697015,Drama
СКАЗКА О ЦАРЕ САЛТАНЕ,9097.2,0.0039431140085697015,"Animation,Fairy Tale"
СУВОРОВ,9097.2,0.0039431140085697015,"Historical,Drama"
ТЕРЕМОК,9097.2,0.0039431140085697015,"Animation,Fairy Tale"
ЧЕТВЕРТЫЙ ПЕРИСКОП,9097.2,0.0039431140085697015,"War,Drama"
ЧУЖОЙ ГОЛОС,9097.2,0.0039431140085697015,Drama
ЮНОСТЬ ПОЭТА,9097.2,0.0039431140085697015,"Biographical,Drama"
В ЛЮДЯХ,4548.6,0.0019715570042848508,"Biographical,Drama"
МУЖЕСТВО,4548.6,0.0019715570042848508,Drama
ПЕТР ПЕРВЫЙ (2-я серия),4548.6,0.0019715570042848508,"Historical,Drama"
СНЕГУРОЧКА,4548.6,0.0019715570042848508,"Animation,Fairy Tale"
СЧАСТЛИВОГО ПЛАВАНИЯ,4548.6,0.0019715570042848508,Drama
ТРИНАДЦАТЬ,4548.6,0.0019715570042848508,"War,Drama"
