Movie,Popstat
ПАРМСКАЯ ОБИТЕЛЬ (1-я серия),59270.4
ИХ БЫЛО ПЯТЕРО,24696
БЕЛИНСКИЙ,14817.6
В ОДНОМ УНИВЕРМАГЕ,14817.6
ВОЛОЧАЕВСКИЕ ДНИ,14817.6
ДИКАЯ БАРА,14817.6
ЗАПРЕЩЕННЫЕ ПЕСЕНКИ,14817.6
ЗВЕЗДА,14817.6
НАД НЕМАНОМ РАССВЕТ,14817.6
ПАРЕНЬ ИЗ НАШЕГО ГОРОДА,14817.6
ПЕРВАЯ ПЕРЧАТКА,14817.6
РИМСКИЙ-КОРСАКОВ,14817.6
ТАНКЕР ДЕРБЕНТ,14817.6
АРЕНА СМЕЛЫХ,14817.6
УЧИТЕЛЬ ТАНЦЕВ (1-я серия),14817.6
ОПАСНОЕ СХОДСТВО,14817.6
АНГЕЛ В ОТПУСКЕ,9878.4
АННА ПРОЛЕТАРКА,9878.4
АРШИН МАЛ АЛАН,9878.4
БЛИЗНЕЦЫ,9878.4
ДЕВУШКА СПЕШИТ НА СВИДАНИЕ,9878.4
КЕТО И КОТЭ,9878.4
КОРИЧНЕВАЯ ПАУТИНА,9878.4
ПОЕЗД ИДЕТ НА ВОСТОК,9878.4
ПОТОМОК ЧИНГИС-ХАНА,9878.4
ПРАЗДНИК СВ. ИОРГЕНА,9878.4
СИЛЬВА,9878.4
ЦИРК,9878.4
ШКОЛА НЕНАВИСТИ,9878.4
БОГАТАЯ НЕВЕСТА,9878.4
ВАРВАРЫ,9878.4
ПОД ИГОМ,9878.4
БОЛЬШАЯ ЖИЗНЬ,4939.2
ГОЛУБЫЕ ДОРОГИ,4939.2
ЖИВОЙ ТРУП (1-я серия),4939.2
ЗАПОРОЖЕЦ ЗА ДУНАЕМ,4939.2
КОТОВСКИЙ,4939.2
ЛЕВ ТОЛСТОЙ,4939.2
ЛЮБИМЫЕ АРИИ,4939.2
ОПЕРАЦИЯ Б.,4939.2
СЕРДЦА ЧЕТЫРЕХ,4939.2
СТРАННЫЙ БРАК,4939.2
ТАРЗАН В ЗАПАДНЕ (1-я серия),4939.2
ТАХИР И ЗУХРА,4939.2
ЦЕНТР НАПАДЕНИЯ,4939.2
ЧЕЛОВЕК В ФУТЛЯРЕ,4939.2
ЧУК И ГЕК,4939.2
ЮНОСТЬ ПОЭТА,4939.2
