Movie,Popstat
ЧУК И ГЕК,1615727.272
АРЕНА СМЕЛЫХ,903711.864
ПАРМСКАЯ ОБИТЕЛЬ (1-я серия),657244.992
ВАРВАРЫ,602474.576
КЕТО И КОТЭ,575089.368
ОПАСНОЕ СХОДСТВО,492933.744
ПАРМСКАЯ ОБИТЕЛЬ (2-я серия),492933.744
БЕЛИНСКИЙ,410778.12
АНГЕЛ В ОТПУСКЕ,410778.12
ПОЮТ ЖАВОРОНКИ,328622.496
В ОДНОМ УНИВЕРМАГЕ,301237.288
ЗВЕЗДА,246466.872
НАД НЕМАНОМ РАССВЕТ,246466.872
ПРАЗДНИК СВ. ИОРГЕНА,219081.664
ИХ БЫЛО ПЯТЕРО,191696.456
ЛЕВ ТОЛСТОЙ,191696.456
РИМСКИЙ-КОРСАКОВ,191696.456
ДЖАМБУЛ,164311.248
ДОЧЬ ПОЛКА,164311.248
ЗАПОРОЖЕЦ ЗА ДУНАЕМ,136926.04
КУРГАН,82155.624
ПОД ИГОМ,82155.624
ЯРОСТЬ,82155.624
МИЧУРИН,54770.416
АННА ПРОЛЕТАРКА,27385.208
ЛЕНИН В ОКТЯБРЕ,27385.208
У САМОГО СИНЕГО МОРЯ,27385.208
