Movie,Popstat
ОПАСНОЕ СХОДСТВО,238480.2
КЕТО И КОТЭ,211982.4
БЕЛИНСКИЙ,185484.6
В ОДНОМ УНИВЕРМАГЕ,185484.6
ВАРВАРЫ,185484.6
ЗВЕЗДА,158986.8
ПАРМСКАЯ ОБИТЕЛЬ (2-я серия),158986.8
ПОЮТ ЖАВОРОНКИ,158986.8
ИХ БЫЛО ПЯТЕРО,158986.8
РИМСКИЙ-КОРСАКОВ,132489
ДОЧЬ ПОЛКА,105991.2
ПАРМСКАЯ ОБИТЕЛЬ (1-я серия),105991.2
АРЕНА СМЕЛЫХ,79493.4
НАД НЕМАНОМ РАССВЕТ,79493.4
ЯРОСТЬ,79493.4
ЗАПОРОЖЕЦ ЗА ДУНАЕМ,79493.4
ИСТРЕБИТЕЛИ,52995.6
КУБАНСКИЕ КАЗАКИ,52995.6
ПРАЗДНИК СВ. ИОРГЕНА,52995.6
АНГЕЛ В ОТПУСКЕ,52995.6
АННА ПРОЛЕТАРКА,26497.8
ПОД ИГОМ,26497.8
У САМОГО СИНЕГО МОРЯ,26497.8
