Movie,Popstat
ЛЕВ ТОЛСТОЙ,1111017.438
ОПАСНОЕ СХОДСТВО,526271.418
ЧУК И ГЕК,467796.816
КЕТО И КОТЭ,467796.816
БЕЛИНСКИЙ,409322.214
ИХ БЫЛО ПЯТЕРО,409322.214
ВАРВАРЫ,409322.214
В ОДНОМ УНИВЕРМАГЕ,409322.214
ЗВЕЗДА,350847.612
ПОЮТ ЖАВОРОНКИ,350847.612
ПАРМСКАЯ ОБИТЕЛЬ (1-я серия),292373.01
РИМСКИЙ-КОРСАКОВ,292373.01
ПАРМСКАЯ ОБИТЕЛЬ (2-я серия),292373.01
АРЕНА СМЕЛЫХ,233898.408
ДОЧЬ ПОЛКА,233898.408
ПРАЗДНИК СВ. ИОРГЕНА,233898.408
УТРО НАД РОДИНОЙ,233898.408
НА ГРАНИЦЕ,175423.806
НАД НЕМАНОМ РАССВЕТ,175423.806
ПОД ИГОМ,175423.806
ЯРОСТЬ,175423.806
ЗАПОРОЖЕЦ ЗА ДУНАЕМ,175423.806
ТАЙНОЕ ПОРУЧЕНИЕ,175423.806
МУЖЕСТВО,116949.204
СВАДЬБА,116949.204
СЕКРЕТНАЯ МИССИЯ,116949.204
ЩЕДРОЕ ЛЕТО,116949.204
АНГЕЛ В ОТПУСКЕ,116949.204
АННА ПРОЛЕТАРКА,58474.602
ВОЗВРАЩЕНИЕ С ПОБЕДОЙ,58474.602
ДАЛЕКАЯ НЕВЕСТА,58474.602
МЕЧТЫ НА ДОРОГАХ,58474.602
У САМОГО СИНЕГО МОРЯ,58474.602
ЧЕЛОВЕК С РУЖЬЕМ,58474.602
