Movie,Popstat
ЧУК И ГЕК,235435.536
БЕЛИНСКИЙ,93579.864
НА ДНЕ (1-я и 2-я серия),57373.008
КОТОВСКИЙ,48275.808
СКАЗАНИЕ О ЗЕМЛЕ СИБИРСКОЙ,48275.808
РИМСКИЙ-КОРСАКОВ,48275.808
ВРАТАРЬ,36206.856
ГИБЕЛЬ ОРЛА,36206.856
ИСТРЕБИТЕЛИ,36206.856
МАШЕНЬКА,36206.856
ПАВЛИНКА,36206.856
ПОД НЕБОМ СИЦИЛИИ,36206.856
АРЕНА СМЕЛЫХ,36206.856
МОЛОДОЙ КАРУЗО,36206.856
ПАРМСКАЯ ОБИТЕЛЬ (2-я серия),36206.856
ДУДОЧКА И КУВШИНЧИК,31840.2
ГЕОРГИЙ СААКАДЗЕ (1-я серия),27291.6
БЕЛЕЕТ ПАРУС ОДИНОКИЙ,27291.6
ЛЕВ И ЗАЯЦ,27291.6
ПОЛКАН И ШАВКА,27291.6
СКАЗКА О МЕРТВОЙ ЦАРЕВНЕ И СЕМИ БОГАТЫРЯХ,27291.6
АЛЕКСАНДР НЕВСКИЙ,25714.752
ЗИГМУНД КОЛОСОВСКИЙ,25714.752
ПОДВИГ РАЗВЕДЧИКА,25714.752
ЧЕЛОВЕК С РУЖЬЕМ,25714.752
ДЖУЛЬБАРС,24137.904
ЗВЕЗДА,24137.904
ЗОЛУШКА,24137.904
КАК ЗАКАЛЯЛАСЬ СТАЛЬ,24137.904
КУБАНСКИЕ КАЗАКИ,24137.904
НОВЫЕ ЦВЕТНЫЕ МУЛЬТИПЛИКАЦИИ,24137.904
ОНА ЗАЩИЩАЕТ РОДИНУ,24137.904
ПАХТА-ОЙ,24137.904
ПО ЩУЧЬЕМУ ВЕЛЕНИЮ,24137.904
ПОВЕСТЬ О НАСТОЯЩЕМ ЧЕЛОВЕКЕ,24137.904
ПОКОЛЕНИЕ ПОБЕДИТЕЛЕЙ,24137.904
СЕМЕРО СМЕЛЫХ,24137.904
АЛЕНЬКИЙ ЦВЕТОЧЕК,22743
ВАСИЛИСА ПРЕКРАСНАЯ,22743
ГАЙЧИ,22743
ДЕТСТВО ГОРЬКОГО,22743
НЕРАЗЛУЧНЫЕ ДРУЗЬЯ,21166.152
СЛОН И ВЕРЕВОЧКА,21166.152
СЕКРЕТАРЬ РАЙКОМА,18194.4
ТИХАЯ ПОЛЯНА,18194.4
15-ЛЕТНИЙ КАПИТАН,13645.8
ВОЛШЕБНОЕ ЗЕРНО,13645.8
ВЫСОКАЯ НАГРАДА,13645.8
ДЕТИ КАПИТАНА ГРАНТА,13645.8
ДУМА ПРО КАЗАКА ГОЛОТУ,13645.8
ЗА СОВЕТСКУЮ РОДИНУ,13645.8
ЗОЛОТОЙ КЛЮЧИК,13645.8
КРЕЙСЕР ВАРЯГ,13645.8
КРЕПЫШ,13645.8
КТО ПЕРВЫЙ,13645.8
ЛЕСНЫЕ ПУТЕШЕСТВЕННИКИ,13645.8
МАЛАХОВ КУРГАН,13645.8
МАРИТЕ,13645.8
МОРСКОЙ ЯСТРЕБ,13645.8
МЫ ИЗ КРОНШТАДТА,13645.8
НЕЖЕННА,13645.8
ОБИЖЕННЫЕ ИГРУШКИ,13645.8
ПЕРВЫЙ СТАРТ,13645.8
ПЕТР ПЕРВЫЙ (1-я серия),13645.8
САДКО,13645.8
ЧЕМПИОН,13645.8
ЧОРТОВО УЩЕЛЬЕ,13645.8
ЧУДЕСНЫЙ КОЛОКОЛЬЧИК,13645.8
ЮНЫЕ ПАРТИЗАНЫ,13645.8
ГОЛУБЫЕ ДОРОГИ,13645.8
АРШИН МАЛ АЛАН,12068.952
В ДАЛЬНЕМ ПЛАВАНИИ,12068.952
ВОЗВРАЩЕНИЕ ВАСИЛИЯ БOPTHИКОВА,12068.952
ДАЛЕКАЯ НЕВЕСТА,12068.952
КИНОСБОРНИК МУЛЬТИПЛИКАЦИЙ,12068.952
НА ГРАНИЦЕ,12068.952
ОПАСНЫЙ РЕЙС,12068.952
ОПЕРАЦИЯ Б.,12068.952
ПАРЕНЬ ИЗ ТАЙГИ,12068.952
ТИМУР И ЕГО КОМАНДА,12068.952
ЦИРК,12068.952
АДМИРАЛ НАХИМОВ,9097.2
АДМИРАЛ УШАКОВ,9097.2
БЕЛЫЙ КЛЫК,9097.2
В СТЕПИ,9097.2
ВАЛЕРИЙ ЧКАЛОВ,9097.2
ВОЛГО-ДОН,9097.2
ГАВРОШ,9097.2
КАЩЕЙ БЕССМЕРТНЫЙ,9097.2
КОНЕК-ГОРБУНОК,9097.2
КРАШЕНЫЙ ЛИС,9097.2
МАКСИМКА,9097.2
МАШЕНЬКИН КОНЦЕРТ,9097.2
МИНИН И ПОЖАРСКИЙ,9097.2
МОЛОДЫЕ МОРЯКИ,9097.2
ОСТРОВ COKPОВИЩ,9097.2
ПЕРВОКЛАССНИЦА,9097.2
ПЕРВЫЙ УРОК,9097.2
ПОЕДИНОК,9097.2
СКАЗКА О ЦАРЕ САЛТАНЕ,9097.2
СУВОРОВ,9097.2
ТЕРЕМОК,9097.2
ЧЕТВЕРТЫЙ ПЕРИСКОП,9097.2
ЧУЖОЙ ГОЛОС,9097.2
ЮНОСТЬ ПОЭТА,9097.2
В ЛЮДЯХ,4548.6
МУЖЕСТВО,4548.6
ПЕТР ПЕРВЫЙ (2-я серия),4548.6
СНЕГУРОЧКА,4548.6
СЧАСТЛИВОГО ПЛАВАНИЯ,4548.6
ТРИНАДЦАТЬ,4548.6
