Кинотеатр,Город,Разряд,Количество мест,Количество сеансов в день,Институциональная принадлежность и характеристика,Цена билета,"Источники: разряд, количество мест, институциональная принадлежность",Источники: количество сеансов,Источники: цена билета
Авангард,Москва,1,515,"8,4",Управление кинофикации Мосгорисполкома,"4,5",ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ,"Указано усредненное количество сеансов в день, согласно общему годовому отчету по всем кинотеатрам за 1950 год: ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ","Цена на билет искусственно сконструирована, отталкиваясь от усредненной цены билета в городские кинотеатры согласно общему говодому отчету  за 1950 год (3-98 руб.): ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. Описание методики реконструкции см. в статье."
Аврора,Москва,3,338,"8,4",Управление кинофикации Мосгорисполкома,"2,8",ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ,"Указано усредненное количество сеансов в день, согласно общему годовому отчету по всем кинотеатрам за 1950 год: ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ","Цена на билет искусственно сконструирована, отталкиваясь от усредненной цены билета в городские кинотеатры согласно общему говодому отчету  за 1950 год (3-98 руб.): ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. Описание методики реконструкции см. в статье."
Аквариум,Москва,2,732,"3,3",Управление кинофикации Мосгорисполкома. Сезоннй,"3,97",ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ,"Указано усредненное количество сеансов в день, согласно общему годовому отчету по сезонным кинотеатрам за 1950 год: ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ","Указана средняя цена на билет в сезонные кинотеатры, согласно годовому отчету за 1950 год: ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. "
Арс,Москва,2,271,"8,4",Управление кинофикации Мосгорисполкома,"3,98",ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ,"Указано усредненное количество сеансов в день, согласно общему годовому отчету по всем кинотеатрам за 1950 год: ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ","Цена на билет искусственно сконструирована, отталкиваясь от усредненной цены билета в городские кинотеатры согласно общему говодому отчету  за 1950 год (3-98 руб.): ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. Описание методики реконструкции см. в статье."
Баррикады,Москва,2,455,"8,4",Управление кинофикации Мосгорисполкома,"3,98",ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ,"Указано усредненное количество сеансов в день, согласно общему годовому отчету по всем кинотеатрам за 1950 год: ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ","Цена на билет искусственно сконструирована, отталкиваясь от усредненной цены билета в городские кинотеатры согласно общему говодому отчету  за 1950 год (3-98 руб.): ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. Описание методики реконструкции см. в статье."
Динамо,Москва,1,560,"8,4",Управление кинофикации Мосгорисполкома,"4,5",ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ,"Указано усредненное количество сеансов в день, согласно общему годовому отчету по всем кинотеатрам за 1950 год: ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ","Цена на билет искусственно сконструирована, отталкиваясь от усредненной цены билета в городские кинотеатры согласно общему говодому отчету  за 1950 год (3-98 руб.): ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. Описание методики реконструкции см. в статье."
Диск,Москва,3,216,"8,4",Управление кинофикации Мосгорисполкома,"2,8",ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ,"Указано усредненное количество сеансов в день, согласно общему годовому отчету по всем кинотеатрам за 1950 год: ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ","Цена на билет искусственно сконструирована, отталкиваясь от усредненной цены билета в городские кинотеатры согласно общему говодому отчету  за 1950 год (3-98 руб.): ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. Описание методики реконструкции см. в статье."
Ждановский ПКиО,Москва,2,596,"8,4",Управление кинофикации Мосгорисполкома,"3,98",ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ,"Указано усредненное количество сеансов в день, согласно общему годовому отчету по всем кинотеатрам за 1950 год: ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ","Цена на билет искусственно сконструирована, отталкиваясь от усредненной цены билета в городские кинотеатры согласно общему говодому отчету  за 1950 год (3-98 руб.): ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. Описание методики реконструкции см. в статье."
Заря,Москва,3,262,"8,4",Управление кинофикации Мосгорисполкома,"2,8",ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ,"Указано усредненное количество сеансов в день, согласно общему годовому отчету по всем кинотеатрам за 1950 год: ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ","Цена на билет искусственно сконструирована, отталкиваясь от усредненной цены билета в городские кинотеатры согласно общему говодому отчету  за 1950 год (3-98 руб.): ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. Описание методики реконструкции см. в статье."
Измайловский ПКиО имени Сталина,Москва,2,815,"8,4",Управление кинофикации Мосгорисполкома,"3,98",Информация о количестве мест указана согласно годовому отчету за 1949 год: ЦГАМ. Ф. Р-265. Оп. 1. Д. 19. За 1950 год данных не обнаружено ,"Указано усредненное количество сеансов в день, согласно общему годовому отчету по всем кинотеатрам за 1950 год: ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ","Цена на билет искусственно сконструирована, отталкиваясь от усредненной цены билета в городские кинотеатры согласно общему говодому отчету  за 1950 год (3-98 руб.): ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. Описание методики реконструкции см. в статье."
им. III Интернационала,Москва,2,455,"8,4",Управление кинофикации Мосгорисполкома,"3,98",ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ,"Указано усредненное количество сеансов в день, согласно общему годовому отчету по всем кинотеатрам за 1950 год: ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ","Цена на билет искусственно сконструирована, отталкиваясь от усредненной цены билета в городские кинотеатры согласно общему говодому отчету  за 1950 год (3-98 руб.): ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. Описание методики реконструкции см. в статье."
им. Моссовета,Москва,1,705,"8,4",Управление кинофикации Мосгорисполкома,"4,5",ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ,"Указано усредненное количество сеансов в день, согласно общему годовому отчету по всем кинотеатрам за 1950 год: ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ","Цена на билет искусственно сконструирована, отталкиваясь от усредненной цены билета в городские кинотеатры согласно общему говодому отчету  за 1950 год (3-98 руб.): ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. Описание методики реконструкции см. в статье."
Искра,Москва,3,210,"8,4",Управление кинофикации Мосгорисполкома,"2,8",ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ,"Указано усредненное количество сеансов в день, согласно общему годовому отчету по всем кинотеатрам за 1950 год: ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ","Цена на билет искусственно сконструирована, отталкиваясь от усредненной цены билета в городские кинотеатры согласно общему говодому отчету  за 1950 год (3-98 руб.): ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. Описание методики реконструкции см. в статье."
Кадр,Москва,3,322,"8,4",Управление кинофикации Мосгорисполкома,"2,8",ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ,"Указано усредненное количество сеансов в день, согласно общему годовому отчету по всем кинотеатрам за 1950 год: ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ","Цена на билет искусственно сконструирована, отталкиваясь от усредненной цены билета в городские кинотеатры согласно общему говодому отчету  за 1950 год (3-98 руб.): ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. Описание методики реконструкции см. в статье."
Кинозал короткометражного фильма,Москва,специализированный,151,"8,4",Управление кинофикации Мосгорисполкома,2,ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ,"Указано усредненное количество сеансов в день, согласно общему годовому отчету по всем кинотеатрам за 1950 год: ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ","Цена на билет искусственно сконструирована, отталкиваясь от усредненной цены билета в городские кинотеатры согласно общему говодому отчету (3-98 руб.): ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. Описание методики реконструкции см. в статье."
Кинотеатр повторного фильма,Москва,2,480,"8,4",Управление кинофикации Мосгорисполкома,"3,98",ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ,"Указано усредненное количество сеансов в день, согласно общему годовому отчету по всем кинотеатрам за 1950 год: ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ","Цена на билет искусственно сконструирована, отталкиваясь от усредненной цены билета в городские кинотеатры согласно общему говодому отчету  за 1950 год (3-98 руб.): ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. Описание методики реконструкции см. в статье."
Колизей,Москва,1,1001,"8,7",Главное управление кинофикации. Кинотеатр союзного подчинения,"4,23",РГАЛИ. Ф. 2471. Оп. 1. Д. 399.Согласно отчету за 1948 год,"Количество сеансов по кинотеатру ""Колизей"" отражено в годовом отчете: РГАЛИ. Ф. 2473. Оп. 1. Д. 505.","Цена на билет в кинотеатр ""Колизей"" отражена в годовом отчете: РГАЛИ. Ф. 2473. Оп. 1. Д. 505."
