cinema,date,title_excerpt,url
Метрополь,01.09.1953,"АРЕНА СМЕЛЫХ",https://electro.nekrasovka.ru/books/6173751/pages/4
Метрополь,01.09.1953,"ПАРМСКАЯ ОБИТЕЛЬ",https://electro.nekrasovka.ru/books/6173751/pages/4
Метрополь,01.09.1953,"ЧУН И ГЕК",https://electro.nekrasovka.ru/books/6173751/pages/4
Ударник,01.09.1953,"ПАРМСКАЯ ОБИТЕЛЬ",https://electro.nekrasovka.ru/books/6173751/pages/4
Ударник,01.09.1953,"ПРАЗДНИК СВ. ИОРГЕНА",https://electro.nekrasovka.ru/books/6173751/pages/4
Орион,01.09.1953,"ПАРМСКАЯ ОБИТЕЛЬ",https://electro.nekrasovka.ru/books/6173751/pages/4
Метрополь,02.09.1953,"ПАРМСКАЯ ОБИТЕЛЬ",https://electro.nekrasovka.ru/books/6173753/pages/4
Метрополь,02.09.1953,"ЧУН И ГЕК",https://electro.nekrasovka.ru/books/6173753/pages/4
Метрополь,02.09.1953,"АРЕНА СМЕЛЫХ",https://electro.nekrasovka.ru/books/6173753/pages/4
Ударник,02.09.1953,"ПАРМСКАЯ ОБИТЕЛЬ",https://electro.nekrasovka.ru/books/6173753/pages/4
Ударник,02.09.1953,"ПРАЗДНИК СВ. ИОРГЕНА",https://electro.nekrasovka.ru/books/6173753/pages/4
Орион,02.09.1953,"ПАРМСКАЯ ОБИТЕЛЬ",https://electro.nekrasovka.ru/books/6173753/pages/4
Орион,02.09.1953,"NE NE cara?",https://electro.nekrasovka.ru/books/6173753/pages/4
Метрополь,03.09.1953,"ПАРМСНАЯ ОБИТЕЛЬ",https://electro.nekrasovka.ru/books/6173755/pages/4
Метрополь,03.09.1953,"ЧУК И ГЕК",https://electro.nekrasovka.ru/books/6173755/pages/4
Метрополь,03.09.1953,"АРЕНА СМЕЛЫХ",https://electro.nekrasovka.ru/books/6173755/pages/4
Ударник,03.09.1953,"ПАРМСНАЯ ОБИТЕЛЬ",https://electro.nekrasovka.ru/books/6173755/pages/4
Ударник,03.09.1953,"ПРАЗДНИК СВ. ИОРГЕНА",https://electro.nekrasovka.ru/books/6173755/pages/4
Орион,03.09.1953,"ПАРМСНАЯ ОБИТЕЛЬ",https://electro.nekrasovka.ru/books/6173755/pages/4
Метрополь,04.09.1953,"ПАРМСКАЯ ОБИТЕЛЬ",https://electro.nekrasovka.ru/books/6173757/pages/4
Метрополь,04.09.1953,"ЧУК И ГЕК",https://electro.nekrasovka.ru/books/6173757/pages/4
Метрополь,04.09.1953,"АРЕНА СМЕЛЫХ",https://electro.nekrasovka.ru/books/6173757/pages/4
Ударник,04.09.1953,ЛЕВ ТОЛСТОЙ,https://electro.nekrasovka.ru/books/6173757/pages/4
Ударник,04.09.1953,"ПАРМСКАЯ ОБИТЕЛЬ",https://electro.nekrasovka.ru/books/6173757/pages/4
Метрополь,07.09.1953,"ЛЕВ ТОЛСТОЙ",https://electro.nekrasovka.ru/books/6173761/pages/4
Метрополь,07.09.1953,"ПАРМСКАЯ ОБИТЕЛЬ (1-я серия)",https://electro.nekrasovka.ru/books/6173761/pages/4
